variant,benchmark,input_value,input_metric,phase,time_lo_s,time_mid_s,time_hi_s,units
32-reg,collatz,62,n,trace,0.072000,0.072000,0.073000,s
32-reg,collatz,62,n,preprocess,2.158000,2.187000,2.225000,s
32-reg,collatz,62,n,prove,0.858000,0.877000,0.890000,s
32-reg,collatz,62,n,verify,0.052000,0.053000,0.054000,s
32-reg,collatz,64,n,decode,0.193000,0.195000,0.198000,s
32-reg,collatz,64,n,trace,0.070000,0.070000,0.073000,s
32-reg,collatz,64,n,preprocess,2.155000,2.170000,2.289000,s
32-reg,collatz,64,n,prove,0.586000,0.589000,0.597000,s
32-reg,collatz,64,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,66,n,decode,0.193000,0.195000,0.196000,s
32-reg,collatz,66,n,trace,0.069000,0.070000,0.071000,s
32-reg,collatz,66,n,preprocess,2.159000,2.161000,2.195000,s
32-reg,collatz,66,n,prove,0.648000,0.653000,0.659000,s
32-reg,collatz,66,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,68,n,decode,0.194000,0.196000,0.201000,s
32-reg,collatz,68,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,68,n,preprocess,2.164000,2.188000,2.261000,s
32-reg,collatz,68,n,prove,0.613000,0.616000,0.621000,s
32-reg,collatz,68,n,verify,0.051000,0.051000,0.053000,s
32-reg,collatz,70,n,decode,0.193000,0.195000,0.197000,s
32-reg,collatz,70,n,trace,0.070000,0.071000,0.071000,s
32-reg,collatz,70,n,preprocess,2.157000,2.175000,2.297000,s
32-reg,collatz,70,n,prove,0.614000,0.616000,0.619000,s
32-reg,collatz,70,n,verify,0.050000,0.052000,0.053000,s
32-reg,collatz,72,n,decode,0.192000,0.195000,0.196000,s
32-reg,collatz,72,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,72,n,preprocess,2.154000,2.160000,2.200000,s
32-reg,collatz,72,n,prove,0.646000,0.649000,0.654000,s
32-reg,collatz,72,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,74,n,decode,0.193000,0.195000,0.207000,s
32-reg,collatz,74,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,74,n,preprocess,2.165000,2.177000,2.292000,s
32-reg,collatz,74,n,prove,0.644000,0.648000,0.651000,s
32-reg,collatz,74,n,verify,0.050000,0.052000,0.053000,s
32-reg,collatz,76,n,decode,0.193000,0.194000,0.197000,s
32-reg,collatz,76,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,76,n,preprocess,2.157000,2.170000,2.289000,s
32-reg,collatz,76,n,prove,0.647000,0.649000,0.654000,s
32-reg,collatz,76,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,78,n,decode,0.192000,0.194000,0.196000,s
32-reg,collatz,78,n,trace,0.069000,0.070000,0.071000,s
32-reg,collatz,78,n,preprocess,2.157000,2.166000,2.318000,s
32-reg,collatz,78,n,prove,0.654000,0.657000,0.663000,s
32-reg,collatz,78,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,80,n,decode,0.192000,0.195000,0.197000,s
32-reg,collatz,80,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,80,n,preprocess,2.163000,2.206000,2.296000,s
32-reg,collatz,80,n,prove,0.608000,0.614000,0.617000,s
32-reg,collatz,80,n,verify,0.051000,0.052000,0.054000,s
32-reg,collatz,82,n,decode,0.193000,0.195000,0.197000,s
32-reg,collatz,82,n,trace,0.071000,0.073000,0.073000,s
32-reg,collatz,82,n,preprocess,2.152000,2.185000,2.322000,s
32-reg,collatz,82,n,prove,0.860000,0.865000,0.892000,s
32-reg,collatz,82,n,verify,0.052000,0.053000,0.054000,s
32-reg,collatz,84,n,decode,0.193000,0.196000,0.198000,s
32-reg,collatz,84,n,trace,0.069000,0.070000,0.071000,s
32-reg,collatz,84,n,preprocess,2.163000,2.193000,2.294000,s
32-reg,collatz,84,n,prove,0.611000,0.615000,0.618000,s
32-reg,collatz,84,n,verify,0.051000,0.052000,0.052000,s
32-reg,collatz,86,n,decode,0.193000,0.195000,0.204000,s
32-reg,collatz,86,n,trace,0.069000,0.070000,0.071000,s
32-reg,collatz,86,n,preprocess,2.158000,2.185000,2.299000,s
32-reg,collatz,86,n,prove,0.648000,0.654000,0.685000,s
32-reg,collatz,86,n,verify,0.052000,0.052000,0.053000,s
32-reg,collatz,88,n,decode,0.193000,0.195000,0.197000,s
32-reg,collatz,88,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,88,n,preprocess,2.158000,2.198000,2.267000,s
32-reg,collatz,88,n,prove,0.613000,0.618000,0.625000,s
32-reg,collatz,88,n,verify,0.051000,0.052000,0.052000,s
32-reg,collatz,90,n,decode,0.192000,0.194000,0.197000,s
32-reg,collatz,90,n,trace,0.070000,0.070000,0.072000,s
32-reg,collatz,90,n,preprocess,2.156000,2.168000,2.290000,s
32-reg,collatz,90,n,prove,0.613000,0.617000,0.621000,s
32-reg,collatz,90,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,92,n,decode,0.192000,0.195000,0.196000,s
32-reg,collatz,92,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,92,n,preprocess,2.158000,2.169000,2.287000,s
32-reg,collatz,92,n,prove,0.616000,0.618000,0.623000,s
32-reg,collatz,92,n,verify,0.051000,0.052000,0.054000,s
32-reg,collatz,94,n,decode,0.194000,0.195000,0.196000,s
32-reg,collatz,94,n,trace,0.071000,0.072000,0.074000,s
32-reg,collatz,94,n,preprocess,2.161000,2.186000,2.271000,s
32-reg,collatz,94,n,prove,0.861000,0.884000,0.892000,s
32-reg,collatz,94,n,verify,0.052000,0.053000,0.054000,s
32-reg,collatz,96,n,decode,0.193000,0.195000,0.197000,s
32-reg,collatz,96,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,96,n,preprocess,2.157000,2.192000,2.319000,s
32-reg,collatz,96,n,prove,0.614000,0.617000,0.619000,s
32-reg,collatz,96,n,verify,0.051000,0.052000,0.052000,s
32-reg,collatz,98,n,decode,0.194000,0.195000,0.209000,s
32-reg,collatz,98,n,trace,0.070000,0.070000,0.071000,s
32-reg,collatz,98,n,preprocess,2.157000,2.173000,2.242000,s
32-reg,collatz,98,n,prove,0.649000,0.652000,0.657000,s
32-reg,collatz,98,n,verify,0.051000,0.052000,0.053000,s
32-reg,collatz,100,n,decode,0.193000,0.194000,0.205000,s
32-reg,collatz,100,n,trace,0.070000,0.071000,0.071000,s
32-reg,collatz,100,n,preprocess,2.162000,2.168000,2.246000,s
32-reg,collatz,100,n,prove,0.648000,0.653000,0.661000,s
32-reg,collatz,100,n,verify,0.051000,0.052000,0.052000,s
32-reg,collatz,105,n,decode,0.193000,0.194000,0.196000,s
32-reg,collatz,105,n,trace,0.070000,0.071000,0.071000,s
32-reg,collatz,105,n,preprocess,2.156000,2.168000,2.315000,s
32-reg,collatz,105,n,prove,0.655000,0.661000,0.663000,s
32-reg,collatz,105,n,verify,0.051000,0.053000,0.054000,s
32-reg,collatz,110,n,decode,0.193000,0.196000,0.197000,s
32-reg,collatz,110,n,trace,0.071000,0.073000,0.074000,s
32-reg,collatz,110,n,preprocess,2.159000,2.179000,2.301000,s
32-reg,collatz,110,n,prove,0.862000,0.870000,0.893000,s
32-reg,collatz,110,n,verify,0.053000,0.053000,0.054000,s
32-reg,collatz,115,n,decode,0.193000,0.194000,0.198000,s
32-reg,collatz,115,n,trace,0.071000,0.072000,0.072000,s
32-reg,collatz,115,n,preprocess,2.162000,2.190000,2.294000,s
32-reg,collatz,115,n,prove,0.656000,0.659000,0.663000,s
32-reg,collatz,115,n,verify,0.051000,0.053000,0.053000,s
32-reg,collatz,120,n,decode,0.194000,0.196000,0.198000,s
32-reg,collatz,120,n,trace,0.070000,0.071000,0.071000,s
32-reg,collatz,120,n,preprocess,2.158000,2.184000,2.286000,s
32-reg,collatz,120,n,prove,0.616000,0.620000,0.625000,s
32-reg,collatz,120,n,verify,0.050000,0.052000,0.053000,s
32-reg,collatz,125,n,decode,0.192000,0.195000,0.196000,s
32-reg,collatz,125,n,trace,0.072000,0.072000,0.073000,s
32-reg,collatz,125,n,preprocess,2.162000,2.168000,2.291000,s
32-reg,collatz,125,n,prove,0.862000,0.883000,0.902000,s
