variant,benchmark,input_value,input_metric,group,name,time_lo_s,time_mid_s,time_hi_s,units
32-reg,collatz,7,n,preprocess,setup,2.509000,2.539000,2.713000,s
32-reg,collatz,7,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,7,n,prove,il_wit,0.004000,0.004000,0.005000,s
32-reg,collatz,7,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,7,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,7,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,7,n,prove,r1cs_polys,0.006000,0.006000,0.007000,s
32-reg,collatz,7,n,prove,r1cs_aux,0.001000,0.001000,0.002000,s
32-reg,collatz,7,n,prove,commit,0.017000,0.018000,0.019000,s
32-reg,collatz,7,n,prove,bytecode,0.011000,0.012000,0.012000,s
32-reg,collatz,7,n,prove,il,0.315000,0.320000,0.324000,s
32-reg,collatz,7,n,prove,rwm,0.066000,0.067000,0.070000,s
32-reg,collatz,7,n,prove,spartan,0.036000,0.036000,0.037000,s
32-reg,collatz,7,n,prove,openings,0.185000,0.188000,0.192000,s
32-reg,collatz,7,n,verify,bytecode,0.001000,0.002000,0.002000,s
32-reg,collatz,7,n,verify,instruction_lookups,0.013000,0.014000,0.015000,s
32-reg,collatz,7,n,verify,memory,0.009000,0.009000,0.010000,s
32-reg,collatz,8,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,8,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,8,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,8,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,8,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,8,n,preprocess,setup,2.478000,2.566000,2.659000,s
32-reg,collatz,8,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,8,n,prove,il_wit,0.003000,0.004000,0.004000,s
32-reg,collatz,8,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,8,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,8,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,8,n,prove,r1cs_polys,0.003000,0.003000,0.003000,s
32-reg,collatz,8,n,prove,r1cs_aux,0.001000,0.001000,0.003000,s
32-reg,collatz,8,n,prove,commit,0.014000,0.015000,0.016000,s
32-reg,collatz,8,n,prove,bytecode,0.010000,0.011000,0.012000,s
32-reg,collatz,8,n,prove,il,0.311000,0.317000,0.320000,s
32-reg,collatz,8,n,prove,rwm,0.062000,0.063000,0.065000,s
32-reg,collatz,8,n,prove,spartan,0.023000,0.023000,0.023000,s
32-reg,collatz,8,n,prove,openings,0.184000,0.187000,0.189000,s
32-reg,collatz,8,n,verify,bytecode,0.001000,0.002000,0.002000,s
32-reg,collatz,8,n,verify,instruction_lookups,0.013000,0.014000,0.015000,s
32-reg,collatz,8,n,verify,memory,0.009000,0.009000,0.010000,s
32-reg,collatz,9,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,9,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,9,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,9,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,9,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,9,n,preprocess,setup,2.497000,2.542000,2.577000,s
32-reg,collatz,9,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,9,n,prove,il_wit,0.004000,0.004000,0.005000,s
32-reg,collatz,9,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,9,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,9,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,9,n,prove,r1cs_polys,0.006000,0.007000,0.007000,s
32-reg,collatz,9,n,prove,r1cs_aux,0.001000,0.002000,0.002000,s
32-reg,collatz,9,n,prove,commit,0.018000,0.018000,0.020000,s
32-reg,collatz,9,n,prove,bytecode,0.012000,0.012000,0.013000,s
32-reg,collatz,9,n,prove,il,0.317000,0.321000,0.326000,s
32-reg,collatz,9,n,prove,rwm,0.066000,0.067000,0.070000,s
32-reg,collatz,9,n,prove,spartan,0.037000,0.037000,0.038000,s
32-reg,collatz,9,n,prove,openings,0.186000,0.188000,0.190000,s
32-reg,collatz,9,n,verify,bytecode,0.001000,0.001000,0.002000,s
32-reg,collatz,9,n,verify,instruction_lookups,0.014000,0.014000,0.014000,s
32-reg,collatz,9,n,verify,memory,0.009000,0.010000,0.010000,s
32-reg,collatz,10,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,10,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,10,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,10,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,10,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,10,n,preprocess,setup,2.440000,2.535000,2.652000,s
32-reg,collatz,10,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,10,n,prove,il_wit,0.003000,0.004000,0.005000,s
32-reg,collatz,10,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,10,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,10,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,10,n,prove,r1cs_polys,0.003000,0.003000,0.003000,s
32-reg,collatz,10,n,prove,r1cs_aux,0.001000,0.001000,0.002000,s
32-reg,collatz,10,n,prove,commit,0.014000,0.015000,0.016000,s
32-reg,collatz,10,n,prove,bytecode,0.010000,0.010000,0.011000,s
32-reg,collatz,10,n,prove,il,0.312000,0.315000,0.321000,s
32-reg,collatz,10,n,prove,rwm,0.061000,0.063000,0.066000,s
32-reg,collatz,10,n,prove,spartan,0.024000,0.024000,0.025000,s
32-reg,collatz,10,n,prove,openings,0.183000,0.188000,0.192000,s
32-reg,collatz,10,n,verify,bytecode,0.001000,0.001000,0.002000,s
32-reg,collatz,10,n,verify,instruction_lookups,0.013000,0.014000,0.014000,s
32-reg,collatz,10,n,verify,memory,0.009000,0.009000,0.010000,s
32-reg,collatz,11,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,11,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,11,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,11,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,11,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,11,n,preprocess,setup,2.492000,2.542000,2.632000,s
32-reg,collatz,11,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,11,n,prove,il_wit,0.004000,0.004000,0.005000,s
32-reg,collatz,11,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,11,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,11,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,11,n,prove,r1cs_polys,0.006000,0.006000,0.007000,s
32-reg,collatz,11,n,prove,r1cs_aux,0.001000,0.001000,0.003000,s
32-reg,collatz,11,n,prove,commit,0.017000,0.017000,0.019000,s
32-reg,collatz,11,n,prove,bytecode,0.011000,0.012000,0.012000,s
32-reg,collatz,11,n,prove,il,0.317000,0.320000,0.323000,s
32-reg,collatz,11,n,prove,rwm,0.066000,0.068000,0.070000,s
