variant,benchmark,input_value,input_metric,component,size_lo_mb,size_mid_mb,size_hi_mb,units
32-reg,collatz,66,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,66,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,66,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,68,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,68,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,68,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,70,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,70,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,70,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,72,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,72,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,72,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,74,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,74,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,74,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,76,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,76,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,76,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,78,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,78,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,78,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,80,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,80,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,80,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,82,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,82,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,82,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,84,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,84,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,84,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,86,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,86,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,86,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,88,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,88,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,88,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,90,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,90,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,90,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,92,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,92,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,92,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,94,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,94,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,94,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,96,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,96,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,96,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,98,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,98,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,98,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,100,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,100,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,100,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,105,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,105,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,105,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,110,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,110,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,110,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,115,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,115,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,115,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,120,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,120,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,120,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,125,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,125,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,125,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,130,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,130,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,130,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,135,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,135,n,proof,0.126000,0.126000,0.126000,MB
32-reg,collatz,135,n,total,0.140000,0.140000,0.140000,MB
32-reg,collatz,140,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,140,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,140,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,145,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,145,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,145,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,150,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,150,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,150,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,155,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,155,n,proof,0.132000,0.132000,0.132000,MB
32-reg,collatz,155,n,total,0.147000,0.147000,0.147000,MB
32-reg,collatz,160,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,160,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,160,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,165,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,165,n,proof,0.140000,0.140000,0.140000,MB
32-reg,collatz,165,n,total,0.154000,0.154000,0.154000,MB
32-reg,collatz,170,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,170,n,proof,0.119000,0.119000,0.119000,MB
32-reg,collatz,170,n,total,0.134000,0.134000,0.134000,MB
32-reg,collatz,175,n,commitments,0.015000,0.015000,0.015000,MB
32-reg,collatz,175,n,proof,0.132000,0.132000,0.132000,MB
32-reg,collatz,175,n,total,0.147000,0.147000,0.147000,MB
